hits,quarter,term,year
2394,2,body.search:women's lib*,2012
2589,3,body.search:women's lib*,2012
2622,4,body.search:women's lib*,2012
2449,1,body.search:women's lib*,2013
2409,2,body.search:women's lib*,2013
2243,3,body.search:women's lib*,2013
2279,4,body.search:women's lib*,2013
2181,1,body.search:women's lib*,2014
2337,2,body.search:women's lib*,2014
2369,3,body.search:women's lib*,2014
2625,4,body.search:women's lib*,2014
2263,1,body.search:women's lib*,2015
2531,2,body.search:women's lib*,2015
2145,3,body.search:women's lib*,2015
2336,4,body.search:women's lib*,2015
2338,1,body.search:women's lib*,2016
2089,2,body.search:women's lib*,2016
1952,3,body.search:women's lib*,2016
2112,4,body.search:women's lib*,2016
2243,1,body.search:women's lib*,2017
2171,2,body.search:women's lib*,2017
1853,3,body.search:women's lib*,2017
2087,4,body.search:women's lib*,2017
1984,1,body.search:women's lib*,2018
2204,2,body.search:women's lib*,2018
1989,3,body.search:women's lib*,2018
2172,4,body.search:women's lib*,2018
1871,1,body.search:women's lib*,2019
2085,2,body.search:women's lib*,2019
2031,3,body.search:women's lib*,2019
2060,4,body.search:women's lib*,2019
